Age,Gender,Income,Education,Occupation
43,Female,0,HS-grad,Prof-specialty
25,Female,1,HS-grad,Adm-clerical
49,Male,0,HS-grad,Sales
51,Male,1,HS-grad,Prof-specialty
18,Female,1,HS-grad,Prof-specialty
22,Female,0,HS-grad,Tech-support
41,Female,0,Doctorate,Craft-repair
35,Male,0,HS-grad,Craft-repair
39,Male,0,Some-college,Exec-managerial
28,Female,0,Assoc,Sales
50,Female,0,HS-grad,Adm-clerical
49,Female,1,Some-college,Sales
40,Female,1,Masters,Prof-specialty
54,Male,0,Bachelors,Prof-specialty
45,Male,0,HS-grad,Prof-specialty
28,Female,0,Bachelors,Adm-clerical
44,Female,0,Bachelors,Craft-repair
27,Female,0,Some-college,Sales
50,Male,0,HS-grad,Exec-managerial
38,Male,0,HS-grad,Prof-specialty
37,Male,0,Masters,Other-service
30,Female,0,HS-grad,Adm-clerical
55,Male,1,HS-grad,Exec-managerial
37,Female,0,Some-college,Exec-managerial
33,Male,0,Assoc,Adm-clerical
34,Male,0,HS-grad,Other-service
46,Male,0,HS-grad,Other-service
44,Male,0,Some-college,Craft-repair
44,Female,1,Bachelors,Other-service
45,Male,0,Some-college,Adm-clerical
67,Female,0,Assoc,Other-service
34,Female,1,HS-grad,Tech-support
32,Female,0,Some-college,Craft-repair
28,Female,0,Some-college,Prof-specialty
47,Female,1,Some-college,Sales
54,Female,0,Some-college,Craft-repair
38,Male,0,Masters,Exec-managerial
28,Female,0,HS-grad,Prof-specialty
28,Female,1,Bachelors,Adm-clerical
47,Male,0,HS-grad,Adm-clerical
49,Male,1,Bachelors,Craft-repair
46,Female,0,Some-college,Sales
30,Female,1,Some-college,Exec-managerial
42,Male,0,HS-grad,Prof-specialty
41,Male,0,Doctorate,Craft-repair
42,Female,0,Assoc,Craft-repair
50,Male,1,Masters,Sales
42,Female,0,Assoc,Adm-clerical
48,Female,0,HS-grad,Sales
40,Male,1,Some-college,Exec-managerial
43,Male,1,HS-grad,Sales
47,Male,0,Assoc,Exec-managerial
20,Female,0,HS-grad,Tech-support
35,Female,0,HS-grad,Adm-clerical
33,Female,1,Bachelors,Other-service
31,Female,0,HS-grad,Craft-repair
35,Female,1,Bachelors,Adm-clerical
58,Male,0,HS-grad,Prof-specialty
28,Male,1,Bachelors,Craft-repair
52,Male,1,Assoc,Exec-managerial
18,Female,1,Bachelors,Tech-support
35,Female,1,HS-grad,Sales
41,Male,1,HS-grad,Prof-specialty
47,Female,0,HS-grad,Other-service
48,Male,1,HS-grad,Prof-specialty
49,Female,0,Bachelors,Adm-clerical
34,Male,0,Some-college,Tech-support
33,Male,0,HS-grad,Craft-repair
50,Male,0,HS-grad,Craft-repair
37,Male,0,Assoc,Adm-clerical
22,Male,0,HS-grad,Exec-managerial
24,Female,0,HS-grad,Exec-managerial
27,Male,0,Some-college,Craft-repair
45,Male,0,HS-grad,Prof-specialty
41,Male,1,Assoc,Sales
48,Female,0,HS-grad,Other-service
33,Female,0,Bachelors,Adm-clerical
41,Male,0,Bachelors,Adm-clerical
47,Male,1,Masters,Prof-specialty
35,Female,0,Bachelors,Adm-clerical
45,Female,1,Masters,Exec-managerial
30,Female,1,Some-college,Prof-specialty
34,Female,1,Some-college,Sales
34,Female,0,Bachelors,Craft-repair
23,Female,1,Bachelors,Sales
45,Female,1,Some-college,Sales
33,Male,0,HS-grad,Tech-support
39,Female,0,HS-grad,Craft-repair
45,Female,0,Some-college,Sales
45,Female,1,HS-grad,Sales
48,Female,0,Some-college,Craft-repair
38,Male,0,HS-grad,Prof-specialty
33,Male,1,Bachelors,Sales
38,Female,1,Bachelors,Craft-repair
18,Female,0,Bachelors,Exec-managerial
20,Female,1,Bachelors,Exec-managerial
22,Female,0,HS-grad,Sales
26,Female,0,HS-grad,Adm-clerical
44,Female,0,Bachelors,Prof-specialty
27,Female,0,Masters,Craft-repair
34,Male,1,Bachelors,Sales
56,Female,1,Bachelors,Sales
34,Female,0,Bachelors,Prof-specialty
49,Male,0,Bachelors,Prof-specialty
27,Female,1,Bachelors,Craft-repair
36,Female,1,Bachelors,Craft-repair
27,Female,0,HS-grad,Sales
35,Female,0,HS-grad,Adm-clerical
50,Female,0,Some-college,Sales
18,Male,0,Some-college,Sales
45,Male,1,Masters,Other-service
42,Female,0,Some-college,Craft-repair
31,Female,0,HS-grad,Prof-specialty
20,Male,0,Masters,Adm-clerical
40,Male,0,HS-grad,Other-service
32,Female,0,Masters,Sales
42,Female,1,HS-grad,Prof-specialty
39,Female,1,Some-college,Sales
60,Male,0,Some-college,Craft-repair
36,Female,1,HS-grad,Prof-specialty
26,Female,0,HS-grad,Tech-support
41,Female,0,HS-grad,Adm-clerical
42,Female,0,Some-college,Other-service
57,Female,0,HS-grad,Other-service
50,Male,0,Masters,Other-service
44,Male,0,HS-grad,Tech-support
58,Female,0,Some-college,Craft-repair
24,Female,0,HS-grad,Prof-specialty
31,Male,0,Assoc,Adm-clerical
27,Female,0,Masters,Sales
34,Female,1,Doctorate,Adm-clerical
21,Female,0,Assoc,Tech-support
47,Male,0,HS-grad,Craft-repair
36,Male,0,Bachelors,Craft-repair
20,Male,0,HS-grad,Adm-clerical
26,Male,0,Assoc,Sales
43,Female,0,Some-college,Craft-repair
50,Female,0,Some-college,Craft-repair
65,Female,1,Assoc,Craft-repair
75,Male,1,Masters,Craft-repair
44,Male,0,Doctorate,Other-service
26,Female,0,HS-grad,Prof-specialty
18,Male,0,HS-grad,Craft-repair
42,Female,0,HS-grad,Craft-repair
28,Female,1,Some-college,Adm-clerical
34,Female,0,Some-college,Exec-managerial
31,Male,0,HS-grad,Adm-clerical
37,Male,0,Masters,Adm-clerical
53,Male,0,HS-grad,Adm-clerical
41,Male,1,Bachelors,Craft-repair
37,Male,0,Assoc,Sales
26,Male,0,Bachelors,Adm-clerical
18,Male,0,Some-college,Sales
33,Female,0,HS-grad,Prof-specialty
38,Male,0,HS-grad,Other-service
62,Male,1,Bachelors,Craft-repair
41,Male,0,Some-college,Sales
52,Female,0,HS-grad,Tech-support
33,Male,1,Doctorate,Other-service
24,Male,0,Bachelors,Tech-support
26,Female,0,Masters,Adm-clerical
30,Male,0,Some-college,Other-service
67,Female,1,Doctorate,Tech-support
28,Female,0,HS-grad,Craft-repair
50,Female,0,HS-grad,Craft-repair
27,Male,0,Assoc,Other-service
51,Male,1,Assoc,Adm-clerical
44,Female,1,Some-college,Sales
37,Male,0,HS-grad,Exec-managerial
38,Female,0,HS-grad,Sales
30,Female,0,Masters,Adm-clerical
45,Male,1,Masters,Sales
33,Male,0,Some-college,Prof-specialty
23,Male,0,HS-grad,Other-service
22,Male,0,Bachelors,Craft-repair
41,Male,0,Bachelors,Adm-clerical
60,Female,1,Some-college,Craft-repair
41,Female,1,Bachelors,Adm-clerical
37,Female,0,Doctorate,Other-service
43,Male,1,HS-grad,Adm-clerical
56,Male,0,Bachelors,Craft-repair
42,Male,1,Bachelors,Tech-support
34,Female,1,Some-college,Craft-repair
53,Female,1,Assoc,Craft-repair
45,Male,0,Bachelors,Sales
59,Male,1,Some-college,Exec-managerial
41,Female,0,HS-grad,Tech-support
23,Female,1,Bachelors,Prof-specialty
21,Female,0,HS-grad,Craft-repair
60,Female,0,HS-grad,Prof-specialty
61,Female,0,Some-college,Tech-support
37,Female,1,Bachelors,Exec-managerial
34,Male,1,Doctorate,Sales
58,Female,0,Bachelors,Exec-managerial
25,Female,1,Masters,Prof-specialty
27,Female,1,Some-college,Sales
47,Male,0,Some-college,Adm-clerical
34,Female,1,Doctorate,Exec-managerial
39,Female,0,Some-college,Adm-clerical
37,Female,0,Masters,Sales
43,Male,1,Some-college,Prof-specialty
57,Male,0,HS-grad,Exec-managerial
40,Female,0,Bachelors,Adm-clerical
47,Female,0,HS-grad,Other-service
18,Female,0,HS-grad,Craft-repair
38,Male,0,HS-grad,Craft-repair
28,Male,0,HS-grad,Adm-clerical
23,Female,1,Some-college,Prof-specialty
28,Female,0,Assoc,Craft-repair
35,Male,0,Some-college,Tech-support
51,Male,1,Masters,Sales
22,Female,0,Bachelors,Adm-clerical
39,Female,0,HS-grad,Prof-specialty
33,Female,0,HS-grad,Craft-repair
35,Male,0,Assoc,Adm-clerical
52,Male,1,Bachelors,Prof-specialty
46,Male,0,Assoc,Craft-repair
56,Male,0,HS-grad,Other-service
37,Female,1,Bachelors,Prof-specialty
30,Female,0,Masters,Craft-repair
36,Female,1,Doctorate,Other-service
42,Male,1,HS-grad,Prof-specialty
41,Male,1,Doctorate,Craft-repair
25,Female,1,Some-college,Prof-specialty
40,Female,1,Masters,Other-service
42,Male,1,Some-college,Exec-managerial
72,Male,0,Bachelors,Exec-managerial
63,Male,1,Some-college,Prof-specialty
28,Female,0,Masters,Craft-repair
35,Male,0,HS-grad,Craft-repair
20,Male,0,Some-college,Prof-specialty
31,Male,0,Bachelors,Other-service
43,Male,0,Bachelors,Sales
55,Male,0,Some-college,Adm-clerical
30,Male,1,Bachelors,Exec-managerial
30,Male,0,Some-college,Adm-clerical
18,Female,1,Bachelors,Craft-repair
37,Female,0,Bachelors,Sales
25,Male,1,Bachelors,Craft-repair
32,Male,1,Masters,Tech-support
28,Female,0,Some-college,Prof-specialty
38,Female,1,HS-grad,Sales
18,Male,0,Bachelors,Other-service
20,Male,0,HS-grad,Sales
67,Male,1,HS-grad,Other-service
22,Female,0,Masters,Tech-support
25,Male,0,Some-college,Prof-specialty
63,Male,1,Some-college,Craft-repair
75,Female,1,Doctorate,Craft-repair
24,Female,0,HS-grad,Tech-support
34,Male,0,HS-grad,Adm-clerical
43,Female,0,HS-grad,Other-service
61,Male,1,HS-grad,Exec-managerial
26,Male,0,Bachelors,Sales
36,Male,1,Masters,Exec-managerial
49,Female,1,Bachelors,Other-service
45,Male,0,HS-grad,Adm-clerical
34,Female,0,Some-college,Exec-managerial
37,Male,0,HS-grad,Tech-support
21,Female,0,Bachelors,Craft-repair
36,Male,1,Bachelors,Craft-repair
36,Male,0,HS-grad,Other-service
42,Female,0,Masters,Tech-support
32,Female,0,Masters,Adm-clerical
45,Male,1,HS-grad,Prof-specialty
52,Female,1,Bachelors,Craft-repair
41,Female,0,Bachelors,Craft-repair
44,Female,0,HS-grad,Prof-specialty
40,Male,0,HS-grad,Adm-clerical
39,Male,1,Bachelors,Prof-specialty
30,Female,0,Assoc,Craft-repair
43,Male,1,Bachelors,Tech-support
38,Female,0,Bachelors,Prof-specialty
66,Female,0,Bachelors,Craft-repair
59,Female,1,Some-college,Other-service
44,Female,0,HS-grad,Tech-support
29,Female,1,Some-college,Craft-repair
25,Male,0,Assoc,Other-service
54,Female,1,Masters,Craft-repair
42,Male,0,Assoc,Craft-repair
45,Female,0,HS-grad,Exec-managerial
18,Female,0,Some-college,Craft-repair
51,Female,1,Bachelors,Sales
45,Male,0,HS-grad,Prof-specialty
25,Male,0,HS-grad,Other-service
33,Female,0,Masters,Craft-repair
42,Female,1,Bachelors,Craft-repair
40,Female,0,Bachelors,Exec-managerial
35,Male,0,HS-grad,Adm-clerical
38,Female,0,Some-college,Other-service
36,Male,0,HS-grad,Sales
41,Female,0,HS-grad,Sales
58,Female,1,Some-college,Sales
18,Male,0,HS-grad,Craft-repair
36,Female,1,Doctorate,Adm-clerical
41,Female,1,Some-college,Exec-managerial
43,Male,1,HS-grad,Tech-support
34,Female,0,HS-grad,Exec-managerial
18,Female,1,Bachelors,Adm-clerical
43,Female,0,HS-grad,Sales
61,Male,0,HS-grad,Craft-repair
19,Male,0,Some-college,Prof-specialty
50,Female,0,HS-grad,Adm-clerical
35,Male,0,Bachelors,Prof-specialty
38,Male,1,Some-college,Exec-managerial
25,Male,0,HS-grad,Other-service
35,Male,1,Masters,Sales
56,Male,0,Some-college,Adm-clerical
47,Male,1,Bachelors,Sales
62,Female,0,HS-grad,Sales
54,Female,0,Bachelors,Sales
45,Male,0,HS-grad,Other-service
62,Female,1,Some-college,Tech-support
45,Male,0,HS-grad,Craft-repair
50,Female,1,Doctorate,Exec-managerial
35,Male,1,HS-grad,Exec-managerial
40,Female,1,Assoc,Prof-specialty
30,Male,0,Assoc,Other-service
52,Female,0,Some-college,Prof-specialty
24,Female,0,HS-grad,Craft-repair
49,Male,0,Some-college,Other-service
37,Male,1,Doctorate,Sales
54,Male,1,Bachelors,Craft-repair
49,Male,0,Some-college,Other-service
63,Female,1,HS-grad,Exec-managerial
49,Male,1,Masters,Prof-specialty
19,Female,0,HS-grad,Prof-specialty
38,Male,0,HS-grad,Other-service
24,Female,0,HS-grad,Craft-repair
32,Female,1,Some-college,Exec-managerial
59,Male,0,Assoc,Sales
47,Male,0,Masters,Other-service
30,Female,0,HS-grad,Adm-clerical
26,Male,0,Some-college,Craft-repair
39,Male,1,Masters,Other-service
23,Female,1,Some-college,Sales
30,Male,1,HS-grad,Exec-managerial
43,Female,1,Some-college,Exec-managerial
54,Female,0,Bachelors,Prof-specialty
47,Male,0,Doctorate,Sales
18,Female,0,Bachelors,Prof-specialty
43,Female,0,HS-grad,Sales
40,Male,0,Bachelors,Adm-clerical
44,Female,0,HS-grad,Tech-support
60,Male,1,Assoc,Adm-clerical
18,Male,0,Some-college,Other-service
31,Female,0,HS-grad,Adm-clerical
47,Male,1,Some-college,Adm-clerical
18,Female,0,HS-grad,Craft-repair
58,Male,1,HS-grad,Craft-repair
44,Female,0,Bachelors,Exec-managerial
50,Male,1,Masters,Sales
32,Female,1,Masters,Other-service
50,Male,0,Some-college,Prof-specialty
53,Female,1,HS-grad,Prof-specialty
42,Female,1,Some-college,Craft-repair
42,Female,0,Some-college,Tech-support
43,Male,0,HS-grad,Adm-clerical
28,Male,0,Assoc,Craft-repair
37,Female,0,Doctorate,Adm-clerical
37,Female,0,HS-grad,Craft-repair
44,Female,1,Masters,Prof-specialty
52,Female,0,Bachelors,Adm-clerical
25,Male,0,HS-grad,Adm-clerical
37,Male,1,Bachelors,Tech-support
58,Male,1,HS-grad,Adm-clerical
29,Female,0,HS-grad,Prof-specialty
28,Female,1,Doctorate,Exec-managerial
42,Male,0,Bachelors,Other-service
50,Female,0,HS-grad,Sales
39,Male,0,Some-college,Adm-clerical
56,Female,1,Doctorate,Other-service
50,Female,1,Some-college,Exec-managerial
50,Male,0,Assoc,Craft-repair
46,Female,1,Assoc,Sales
69,Male,0,Some-college,Sales
36,Female,1,Bachelors,Craft-repair
18,Female,0,Bachelors,Exec-managerial
60,Female,1,Masters,Adm-clerical
33,Female,1,Some-college,Prof-specialty
40,Male,0,HS-grad,Other-service
56,Female,0,HS-grad,Exec-managerial
18,Male,1,Bachelors,Other-service
23,Male,1,Masters,Craft-repair
18,Female,1,Masters,Sales
29,Female,0,Bachelors,Other-service
45,Female,0,HS-grad,Sales
46,Male,0,HS-grad,Adm-clerical
43,Male,1,Masters,Exec-managerial
21,Female,0,Some-college,Adm-clerical
18,Male,0,Masters,Prof-specialty
40,Female,0,HS-grad,Other-service
33,Female,0,Some-college,Exec-managerial
45,Female,1,Assoc,Craft-repair
48,Male,0,HS-grad,Craft-repair
41,Female,0,HS-grad,Prof-specialty
49,Female,0,Bachelors,Prof-specialty
42,Female,1,Bachelors,Craft-repair
46,Male,0,Doctorate,Sales
30,Female,1,Assoc,Adm-clerical
37,Female,1,Bachelors,Prof-specialty
42,Female,0,HS-grad,Exec-managerial
50,Male,0,Some-college,Adm-clerical
34,Female,0,Assoc,Prof-specialty
46,Male,1,Some-college,Sales
36,Female,0,Doctorate,Exec-managerial
37,Female,0,Bachelors,Sales
50,Male,0,HS-grad,Prof-specialty
18,Male,1,Some-college,Craft-repair
22,Female,0,Bachelors,Other-service
20,Male,0,HS-grad,Other-service
18,Male,0,Some-college,Adm-clerical
30,Female,0,Bachelors,Other-service
49,Male,0,HS-grad,Sales
35,Male,0,Some-college,Adm-clerical
42,Female,1,Bachelors,Prof-specialty
53,Male,1,Masters,Adm-clerical
56,Female,1,Some-college,Prof-specialty
38,Female,0,Doctorate,Other-service
57,Male,1,Assoc,Exec-managerial
40,Male,0,Some-college,Prof-specialty
28,Male,0,HS-grad,Craft-repair
31,Male,0,Masters,Prof-specialty
20,Male,0,HS-grad,Tech-support
27,Female,0,Masters,Craft-repair
34,Male,0,Bachelors,Prof-specialty
49,Male,1,Some-college,Exec-managerial
61,Male,0,Bachelors,Sales
21,Female,1,Some-college,Sales
44,Female,0,Assoc,Sales
25,Female,0,HS-grad,Exec-managerial
45,Female,0,Assoc,Prof-specialty
37,Female,0,HS-grad,Sales
18,Male,0,Masters,Sales
51,Male,0,Assoc,Prof-specialty
31,Female,0,Some-college,Tech-support
32,Female,0,HS-grad,Craft-repair
25,Male,0,Masters,Adm-clerical
30,Female,0,Masters,Other-service
45,Male,1,Some-college,Adm-clerical
37,Female,0,Some-college,Other-service
43,Female,1,Masters,Prof-specialty
44,Female,1,HS-grad,Other-service
56,Male,0,Bachelors,Prof-specialty
35,Female,0,Some-college,Tech-support
20,Male,0,HS-grad,Sales
53,Female,1,Masters,Prof-specialty
35,Female,0,HS-grad,Exec-managerial
53,Male,1,Assoc,Adm-clerical
44,Female,0,Bachelors,Craft-repair
37,Female,0,Some-college,Other-service
44,Male,0,Some-college,Craft-repair
64,Male,1,Some-college,Sales
66,Female,1,Masters,Prof-specialty
40,Female,0,Bachelors,Craft-repair
41,Male,0,Masters,Other-service
53,Male,0,Some-college,Adm-clerical
28,Male,0,HS-grad,Prof-specialty
43,Male,0,HS-grad,Prof-specialty
39,Male,0,Masters,Adm-clerical
43,Female,0,Some-college,Craft-repair
28,Female,0,Some-college,Sales
18,Male,0,Some-college,Adm-clerical
18,Male,0,Some-college,Tech-support
24,Male,0,Bachelors,Prof-specialty
33,Male,0,Bachelors,Adm-clerical
35,Female,1,Doctorate,Craft-repair
64,Male,0,HS-grad,Adm-clerical
53,Male,1,Bachelors,Sales
26,Female,0,HS-grad,Prof-specialty
44,Male,0,Masters,Adm-clerical
34,Male,1,Bachelors,Prof-specialty
35,Female,1,Some-college,Prof-specialty
41,Male,1,Masters,Sales
47,Male,0,Some-college,Adm-clerical
35,Male,1,HS-grad,Adm-clerical
53,Female,1,Some-college,Exec-managerial
24,Male,0,HS-grad,Sales
39,Female,0,Assoc,Sales
73,Male,1,Bachelors,Craft-repair
42,Female,1,Masters,Craft-repair
58,Male,0,Assoc,Sales
40,Male,1,Masters,Adm-clerical
47,Male,0,Some-college,Prof-specialty
38,Male,0,HS-grad,Exec-managerial
37,Female,0,Some-college,Craft-repair
29,Male,0,Assoc,Prof-specialty
45,Female,0,Assoc,Craft-repair
28,Male,0,Masters,Prof-specialty
48,Female,0,HS-grad,Adm-clerical
53,Male,1,HS-grad,Exec-managerial
44,Female,0,Assoc,Prof-specialty
35,Male,0,HS-grad,Adm-clerical
45,Male,1,Bachelors,Prof-specialty
35,Female,0,Some-college,Sales
51,Female,0,HS-grad,Other-service
18,Male,1,Bachelors,Craft-repair
35,Male,0,Doctorate,Craft-repair
18,Female,0,Masters,Craft-repair
20,Female,0,Some-college,Other-service
57,Female,0,Some-college,Exec-managerial
51,Male,0,Assoc,Craft-repair
30,Male,1,Bachelors,Sales
19,Female,0,Some-college,Adm-clerical
18,Male,0,Bachelors,Prof-specialty
32,Male,0,HS-grad,Exec-managerial
70,Male,0,HS-grad,Prof-specialty
45,Female,1,Assoc,Sales
32,Female,0,Bachelors,Exec-managerial
45,Female,0,HS-grad,Prof-specialty
19,Female,0,HS-grad,Prof-specialty
35,Female,0,Doctorate,Adm-clerical
40,Female,1,Bachelors,Other-service
38,Female,0,Bachelors,Sales
49,Male,0,HS-grad,Other-service
43,Female,1,Doctorate,Sales
48,Male,0,Assoc,Craft-repair
30,Female,0,Some-college,Exec-managerial
51,Male,0,HS-grad,Exec-managerial
60,Female,0,Bachelors,Adm-clerical
26,Male,0,Masters,Exec-managerial
27,Male,0,Masters,Exec-managerial
56,Female,1,Doctorate,Adm-clerical
37,Male,1,Bachelors,Tech-support
57,Female,0,HS-grad,Adm-clerical
33,Male,1,Some-college,Prof-specialty
58,Female,0,Masters,Sales
41,Female,0,HS-grad,Prof-specialty
42,Female,0,HS-grad,Craft-repair
59,Male,1,Bachelors,Prof-specialty
34,Female,0,Some-college,Sales
27,Male,1,Masters,Tech-support
33,Female,0,HS-grad,Craft-repair
45,Female,0,Some-college,Adm-clerical
19,Female,0,HS-grad,Prof-specialty
47,Male,1,Bachelors,Craft-repair
32,Male,0,Masters,Sales
54,Female,0,Some-college,Sales
18,Male,0,Some-college,Sales
29,Female,0,HS-grad,Other-service
18,Female,0,Bachelors,Prof-specialty
28,Male,0,Doctorate,Other-service
42,Female,1,Masters,Sales
37,Female,1,HS-grad,Craft-repair
36,Male,1,Bachelors,Sales
37,Female,1,HS-grad,Sales
42,Male,1,HS-grad,Other-service
26,Male,0,HS-grad,Craft-repair
48,Male,0,HS-grad,Exec-managerial
48,Male,0,HS-grad,Tech-support
44,Male,0,Masters,Adm-clerical
46,Female,1,HS-grad,Prof-specialty
43,Male,1,Masters,Prof-specialty
65,Male,0,Assoc,Craft-repair
38,Male,1,Bachelors,Craft-repair
35,Female,1,Some-college,Tech-support
29,Male,0,Masters,Adm-clerical
26,Male,0,HS-grad,Sales
23,Female,0,Some-college,Sales
27,Male,0,Some-college,Sales
38,Female,0,Masters,Exec-managerial
43,Female,0,Masters,Adm-clerical
40,Male,0,Masters,Tech-support
29,Female,0,Bachelors,Adm-clerical
51,Female,0,Some-college,Craft-repair
49,Female,1,Masters,Other-service
37,Female,0,Assoc,Craft-repair
31,Male,0,Some-college,Craft-repair
46,Male,0,Doctorate,Other-service
41,Male,1,Assoc,Adm-clerical
20,Female,0,Some-college,Craft-repair
38,Male,0,HS-grad,Exec-managerial
42,Male,1,HS-grad,Sales
27,Male,0,Masters,Other-service
41,Female,0,HS-grad,Sales
20,Female,0,Some-college,Other-service
56,Male,1,Bachelors,Adm-clerical
55,Male,0,Assoc,Prof-specialty
36,Female,1,Masters,Adm-clerical
44,Male,1,Masters,Other-service
18,Female,1,Some-college,Other-service
24,Female,0,HS-grad,Craft-repair
35,Male,1,Bachelors,Tech-support
25,Male,0,HS-grad,Prof-specialty
48,Female,1,Bachelors,Adm-clerical
65,Male,1,Doctorate,Prof-specialty
24,Male,0,Bachelors,Other-service
28,Female,1,Bachelors,Craft-repair
42,Male,1,Bachelors,Adm-clerical
60,Male,0,Masters,Other-service
23,Male,0,Some-college,Exec-managerial
42,Male,0,Some-college,Exec-managerial
63,Male,1,HS-grad,Sales
18,Female,1,Bachelors,Prof-specialty
22,Female,0,HS-grad,Craft-repair
33,Male,0,Some-college,Adm-clerical
32,Male,0,Masters,Tech-support
50,Female,1,HS-grad,Prof-specialty
42,Female,0,Bachelors,Sales
18,Male,0,HS-grad,Tech-support
46,Female,0,HS-grad,Adm-clerical
31,Female,0,HS-grad,Tech-support
56,Male,0,HS-grad,Sales
31,Male,0,Doctorate,Other-service
31,Male,1,Doctorate,Craft-repair
46,Male,1,Bachelors,Exec-managerial
49,Female,0,Bachelors,Sales
45,Male,1,Masters,Other-service
18,Female,0,Assoc,Other-service
46,Female,1,Some-college,Exec-managerial
26,Male,0,HS-grad,Prof-specialty
42,Male,1,Bachelors,Craft-repair
20,Male,1,Doctorate,Sales
45,Female,0,HS-grad,Tech-support
29,Male,0,Some-college,Sales
22,Male,0,Some-college,Exec-managerial
48,Male,0,Some-college,Other-service
42,Male,1,Bachelors,Adm-clerical
31,Female,0,Some-college,Prof-specialty
58,Male,1,Assoc,Prof-specialty
33,Male,0,Masters,Prof-specialty
39,Male,0,HS-grad,Sales
42,Male,1,Masters,Prof-specialty
31,Male,0,Masters,Adm-clerical
45,Female,1,Some-college,Craft-repair
32,Female,0,Some-college,Prof-specialty
34,Male,0,Masters,Sales
57,Male,0,Some-college,Prof-specialty
