Age,Gender,Income,Education,Occupation
40-59,Any,Low,HS-grad,Prof-specialty
20-39,Female,High,HS-grad,Adm-clerical
40-59,Male,Low,HS-grad,Sales
40-59,Male,High,HS-grad,Prof-specialty
0-19,Female,High,HS-grad,Prof-specialty
20-39,Female,Low,HS-grad,Tech-support
40-59,Female,Low,Doctorate,Craft-repair
20-39,Any,Low,HS-grad,Craft-repair
20-39,Male,Low,Some-college,Exec-managerial
20-39,Female,Low,Assoc,Sales
40-59,Female,Low,HS-grad,Adm-clerical
40-59,Any,High,Some-college,Sales
40-59,Female,High,Masters,Prof-specialty
40-59,Any,Low,Bachelors,Prof-specialty
40-59,Male,Low,HS-grad,Prof-specialty
20-39,Female,Low,Bachelors,Adm-clerical
40-59,Female,Low,Bachelors,Craft-repair
20-39,Any,Low,Some-college,Sales
40-59,Male,Low,HS-grad,Exec-managerial
20-39,Male,Low,HS-grad,Prof-specialty
20-39,Any,Low,Masters,Other-service
20-39,Female,Low,HS-grad,Adm-clerical
40-59,Male,High,HS-grad,Exec-managerial
20-39,Any,Low,Some-college,Exec-managerial
20-39,Any,Low,Assoc,Adm-clerical
20-39,Male,Low,HS-grad,Other-service
40-59,Male,Low,HS-grad,Other-service
40-59,Male,Low,Some-college,Craft-repair
40-59,Female,High,Bachelors,Other-service
40-59,Male,Low,Some-college,Adm-clerical
60-79,Any,Low,Assoc,Other-service
20-39,Female,High,HS-grad,Tech-support
20-39,Female,Low,Some-college,Craft-repair
20-39,Female,Low,Some-college,Prof-specialty
40-59,Any,High,Some-college,Sales
40-59,Female,Low,Some-college,Craft-repair
20-39,Any,Low,Masters,Exec-managerial
20-39,Female,Low,HS-grad,Prof-specialty
20-39,Female,High,Bachelors,Adm-clerical
40-59,Male,Low,HS-grad,Adm-clerical
40-59,Male,High,Bachelors,Craft-repair
40-59,Any,Low,Some-college,Sales
20-39,Female,High,Some-college,Exec-managerial
40-59,Male,Low,HS-grad,Prof-specialty
40-59,Male,Low,Doctorate,Craft-repair
40-59,Female,Low,Assoc,Craft-repair
40-59,Male,High,Masters,Sales
40-59,Any,Low,Assoc,Adm-clerical
40-59,Female,Low,HS-grad,Sales
40-59,Male,High,Some-college,Exec-managerial
40-59,Male,High,HS-grad,Sales
40-59,Male,Low,Assoc,Exec-managerial
20-39,Female,Low,HS-grad,Tech-support
20-39,Female,Low,HS-grad,Adm-clerical
20-39,Any,High,Bachelors,Other-service
20-39,Female,Low,HS-grad,Craft-repair
20-39,Female,High,Bachelors,Adm-clerical
40-59,Male,Low,HS-grad,Prof-specialty
