method,noise_std,generalization_bin,epsilon,gender_mask_probability,hybrid_dp_budget_fraction,swap_fraction,perturbation_strength,optimizer,config_label,k_anonymity,average_equivalence_class_size,reidentification_risk,attribute_disclosure_risk,membership_inference_risk,information_leakage,privacy_score,privacy_loss,baseline_accuracy,masked_accuracy,baseline_roc_auc,masked_roc_auc,accuracy_drop,roc_auc_drop,information_loss,correlation_preservation,covariance_preservation,statistical_similarity,generalization_quality,utility_score,utility_loss,objective_score,mean_ks_statistic,mean_kl_divergence,mean_wasserstein_distance,mean_variance_preservation,overfitting_rate,underfitting_rate,memorization_risk_rate
generalization,0.0,20,1.0,0.0,0.7,0.0,0.0,grid_random_genetic,generalization|noise=0.0|bin=20|eps=1.0|gender_p=0.0|dp_fraction=0.7|swap=0.0|perturb=0.0,8.0,208.33333333333334,0.0048,0.9057812865497077,0.32014345029239766,0.5003397076023393,0.7281218508771929,0.27187814912280706,0.6840000000000002,0.6695,0.7194207761958028,0.7018410598465286,0.01450000000000018,0.017579716349274244,0.14835701754385966,0.8373140418565768,0.7738061334010876,0.860176304525211,0.9508749999999999,0.9013042611119578,0.09869573888804217,0.6749010794262387,0.14244,2.9010567167327332,1.19,0.7370652321362401,0.0,0.0,0.0
generalization,0.0,30,1.0,0.0,0.7,0.0,0.0,grid_random_genetic,generalization|noise=0.0|bin=30|eps=1.0|gender_p=0.0|dp_fraction=0.7|swap=0.0|perturb=0.0,40.0,277.77777777777777,0.0036,0.8585602339181286,0.30283608187134503,0.4738281286549708,0.7994217456140351,0.20057825438596488,0.6840000000000002,0.6505000000000001,0.7194207761958028,0.6789515234373202,0.033500000000000085,0.040469252758482566,0.16013991228070176,0.6625634871723007,0.47924471229460575,0.8615721796213578,0.9332500000000001,0.8206425900374711,0.1793574099625289,0.6738971892082173,0.16208,3.060580772208401,1.5730799999999998,0.6933886572675906,0.0,0.0,0.0
generalization,6.015530076767963,10,1.1701066389990549,0.25625,0.5,0.029307098594563156,0.1280816513711852,grid_random_genetic,generalization|noise=6.015530076767963|bin=10|eps=1.1701066389990549|gender_p=0.25625|dp_fraction=0.5|swap=0.029307098594563156|perturb=0.1280816513711852,5.0,119.04761904761905,0.0084,0.8992339181286549,0.32019187134502924,0.49835865497076026,0.6386811140350876,0.36131888596491235,0.6840000000000002,0.659,0.7194207761958028,0.6980871298431681,0.025000000000000133,0.021333646352634683,0.1475622807017544,0.9194599543905253,0.788258173049597,0.8746702956580321,0.766125,0.8969431879257046,0.1030568120742954,0.5764198878968083,0.10916,2.389556322292611,0.6332400000000001,0.7791034979142006,0.5,0.0,0.5
generalization,1.5263978712708255,10,5.450921968296934,0.6255907417123723,0.5881238035388774,0.22376182765157346,0.13539523941754636,optuna,generalization|noise=1.5263978712708255|bin=10|eps=5.450921968296934|gender_p=0.6255907417123723|dp_fraction=0.5881238035388774|swap=0.22376182765157346|perturb=0.13539523941754636,3.0,119.04761904761905,0.0084,0.7765672514619882,0.27725853801169587,0.4308919883040936,0.6072011140350878,0.3927988859649122,0.6840000000000002,0.671,0.7194207761958028,0.6986533265205603,0.013000000000000123,0.020767449675242466,0.1718122807017544,0.8680508100790878,0.8230497711733933,0.935616249085709,0.899875,0.9176729442627276,0.08232705573727239,0.5627981076352953,0.07036,2.375387190572252,0.5802800000000001,0.7791034979142006,0.0,0.0,0.0
generalization,10.0,10,1.5,0.5,0.6,0.35,0.0,grid_random_genetic,generalization|noise=10.0|bin=10|eps=1.5|gender_p=0.5|dp_fraction=0.6|swap=0.35|perturb=0.0,3.0,119.04761904761905,0.0084,0.8230339181286549,0.2935218713450292,0.45644865497076026,0.5963976140350878,0.40360238596491216,0.6840000000000002,0.659,0.7194207761958028,0.7069414331680776,0.025000000000000133,0.012479343027725243,0.16281228070175438,0.9082602087918122,0.8222051882084989,0.9036351626791713,0.892375,0.9170542372876214,0.08294576271237863,0.5508157370438199,0.08475999999999999,2.3663122515378645,0.5668000000000001,0.7791034979142006,0.0,0.0,0.0
generalization,4.365742169676844,10,0.6044566951293466,0.47424401591974163,0.7231451149743245,0.39924573415934694,0.2124967163228772,optuna,generalization|noise=4.365742169676844|bin=10|eps=0.6044566951293466|gender_p=0.47424401591974163|dp_fraction=0.7231451149743245|swap=0.39924573415934694|perturb=0.2124967163228772,4.0,119.04761904761905,0.0084,0.827033918128655,0.29492187134502923,0.4586486549707603,0.6254676140350877,0.37453238596491234,0.6840000000000002,0.654,0.7194207761958028,0.6977994282794526,0.030000000000000138,0.021621347916350175,0.1618622807017544,0.8509033807103857,0.7761416997940502,0.901245962451249,0.760875,0.8840079064282508,0.11599209357174922,0.5502558043817145,0.08628,2.3668590739248927,0.5670400000000001,0.7791034979142006,0.5,0.0,0.5
generalization,0.7911949848015736,25,0.41179456395375824,0.11818622868461541,0.5641915784487018,0.13690900933179198,0.23614039423450703,optuna,generalization|noise=0.7911949848015736|bin=25|eps=0.41179456395375824|gender_p=0.11818622868461541|dp_fraction=0.5641915784487018|swap=0.13690900933179198|perturb=0.23614039423450703,2.0,217.3913043478261,0.0046,0.8730526315789473,0.30855842105263154,0.48224894736842105,0.5557847631578948,0.4442152368421052,0.6840000000000002,0.6735,0.7194207761958028,0.7153872002725108,0.010500000000000176,0.00403357592329201,0.15710526315789475,0.8555529452696071,0.627725533510495,0.8627205787393756,0.94075,0.8902756936376884,0.10972430636231156,0.4826634556191946,0.14536000000000002,2.9258950858634094,1.38512,0.7215204601984027,0.0,0.0,0.0
generalization,10.0,5,1.5,0.5,0.6,0.0,0.0,grid_random_genetic,generalization|noise=10.0|bin=5|eps=1.5|gender_p=0.5|dp_fraction=0.6|swap=0.0|perturb=0.0,1.0,64.1025641025641,0.0156,0.8240456140350877,0.29855596491228065,0.4602450877192983,0.5342363947368421,0.46576360526315785,0.6840000000000002,0.664,0.7194207761958028,0.68738463167295,0.02000000000000013,0.03203614452285275,0.16095789473684213,0.9041065991290426,0.8521139991995779,0.9116586709541507,0.736875,0.9033917617933083,0.09660823820669173,0.4723246113420448,0.06548000000000001,1.3016502928456875,0.29972000000000004,0.794374719626302,0.5,0.0,0.5
generalization,10.058095759212538,10,1.2931799341341923,0.5,0.5,0.37206357630828035,0.0216050937798669,grid_random_genetic,generalization|noise=10.058095759212538|bin=10|eps=1.2931799341341923|gender_p=0.5|dp_fraction=0.5|swap=0.37206357630828035|perturb=0.0216050937798669,1.0,119.04761904761905,0.0084,0.8177672514619884,0.2916785380116959,0.45355198830409366,0.5376221140350878,0.46237788596491225,0.6840000000000002,0.6739999999999999,0.7194207761958028,0.7141627424173376,0.010000000000000231,0.005258033778465232,0.1627872807017544,0.9170453254066219,0.6834927199811511,0.9047796515019393,0.76575,0.8964885922438117,0.10351140775618828,0.4693730499774197,0.08480000000000001,2.370228363308327,0.5700000000000001,0.7791034979142006,0.5,0.0,0.5
generalization,0.0,10,1.0,0.0,0.7,0.0,0.0,grid_random_genetic,generalization|noise=0.0|bin=10|eps=1.0|gender_p=0.0|dp_fraction=0.7|swap=0.0|perturb=0.0,2.0,119.04761904761905,0.0084,0.9517672514619883,0.3385785380116959,0.5272519883040936,0.5364671140350878,0.46353288596491216,0.6840000000000002,0.66,0.7194207761958028,0.7021172533476954,0.024000000000000132,0.017303522848107433,0.13708728070175438,0.8854913923360477,0.8298658300989952,0.8664175049939485,0.7751250000000001,0.8972133791321047,0.10278662086789525,0.46883944858685667,0.12592,2.460142752540544,0.6815200000000001,0.8318651556528456,0.5,0.0,0.5
